id,email,company,org_number,sector_name,city,address,phone,hr_email,website,linkedin_url,employees_count,tier,campaign_status,last_contacted,created_at
3352,tromso@pvs.no,PEDAGOGISK VIKARSENTRAL AS,986550909,Utleie av arbeidskraft og andre personaladministrative tjenester,BERGEN,Fjøsangerveien 57,55 96 11 17,,www.pvs.no,,3446,T1,pending,,2026-04-14 15:37:00.460469
3171,firmapost@jobzone.no,JOBZONE NORGE AS,983032222,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Sandakerveien 114 B,21 52 64 00,,,,3110,T1,pending,,2026-04-14 15:37:00.460469
26,regulatory@akerbp.com,AKER BP ASA,989795848,Utvinning av råolje,LYSAKER,Oksenøyveien 10,907 06 000,security@akerbp.com,www.akerbp.com,,3099,T1,pending,,2026-04-14 15:37:00.460469
3360,personalhuset@personalhuset.no,PERSONALHUSET STAFFING GROUP AS,982742765,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Lille Grensen 7,23 89 71 00,,,,3069,T1,pending,,2026-04-14 15:37:00.460469
430,subsea.systems@fmcti.com,TECHNIPFMC NORGE AS,986051678,Bygging av sivile skip og flytende materiell,KONGSBERG,Kirkegårdsveien 45,32 70 67 00,,,,2639,T1,pending,,2026-04-14 15:37:00.460469
27,dedicare@dedicare.no,DEDICARE AS,982529786,Utleie av arbeidskraft og andre personaladministrative tjenester,STJØRDAL,Kjøpmannsgata 24C,74 80 40 70,bard.kristiansen@dedicare.no; lene.utzig@dedicare.no; marianne.helmo.opdal@dedicare.no,www.dedicare.no,,2528,T1,pending,,2026-04-14 15:37:00.460469
246,kaefer.energy@kaefer.no,KAEFER ENERGY AS,910608193,Andre tjenester tilknyttet utvinning av råolje og naturgass,STAVANGER,Geitaberget 17,51 80 81 00,,www.kaefer.no,,1636,T1,pending,,2026-04-14 15:37:00.460469
1890,fjord1@fjord1.no,FJORD1 AS,983472583,Innenriks kystruter med passasjerer,FLORØ,Strandavegen 15,57 75 70 00,,www.fjord1.no,,1582,T1,pending,,2026-04-14 15:37:00.460469
141,contact@cop.com,CONOCOPHILLIPS NORGE NUF,948138646,Utvinning av råolje,TANANGER,Ekofiskvegen 35,52 02 00 00,,www.conocophillips.no,,1580,T1,pending,,2026-04-14 15:37:00.460469
2924,bente@barnehageressursen.no,BARNEHAGERESSURSEN AS,987250666,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,"Spaces Nydalen
Nydalsveien 33",40 07 09 00,,www.barnehageressursen.no,,1480,T1,pending,,2026-04-14 15:37:00.460469
37,firmapost@hurtigruten.com,HURTIGRUTEN SJØ AS,985979456,Innenriks kystruter med passasjerer,KIRKENES,Dr. Palmstrøms vei 15,97 05 70 30,booking@hurtigruten.com; book@hurtigruten.com,www.hurtigruten.com,,1473,T1,pending,,2026-04-14 15:37:00.460469
144,firmapost@varenergi.no,VÅR ENERGI ASA,919160675,Utvinning av naturgass,SANDNES,Vestre Svanholmen 1,51 60 60 60,,www.varenergi.no,,1455,T1,pending,,2026-04-14 15:37:00.460469
38,post@beerenberg.com,BEERENBERG SERVICES AS,926146459,Andre tjenester tilknyttet utvinning av råolje og naturgass,KOKSTAD,Kokstaddalen 33,55 52 66 00,beredskap@beerenberg.com; post@beerenberg.com; tender@beerenberg.com,www.beerenberg.com,,1440,T1,pending,,2026-04-14 15:37:00.460469
130,asc@archerwell.com,ARCHER AS,934361156,Boretjenester tilknyttet utvinning av råolje og naturgass,SANDNES,Sandnesveien 358,51 30 80 00,kevin.cowieson@archerwell.com; victor.emanuel@archerwell.com; fernando.bermudez@archerwell.com,archerwell.com,,1268,T1,pending,,2026-04-14 15:37:00.460469
39,post@norled.no,NORLED AS,981940768,Innenriks kystruter med passasjerer,STAVANGER,Børehaugen 1,51 86 87 00,apenhet@norled.no; booking@norled.no; trine.vabo@norled.no,www.norled.no,,1224,T1,pending,,2026-04-14 15:37:00.460469
616,post-bem.no@bilfinger.com,BILFINGER NORWAY AS,988996564,Reparasjon og vedlikehold av maskiner,PORSGRUNN,Hydrovegen 55,,,www.bilfinger.com,,1221,T1,pending,,2026-04-14 15:37:00.460469
193,firmapost.bispn@bilfinger.com,BILFINGER ISP OFFSHORE NORWAY AS,932066351,Andre tjenester tilknyttet utvinning av råolje og naturgass,STAVANGER,Kanalarmen 8,48 02 44 44,,www.bilfinger.com,,1150,T1,pending,,2026-04-14 15:37:00.460469
186,firmapost@sorco.no,APPLY AS,930694533,Andre tjenester tilknyttet utvinning av råolje og naturgass,STAVANGER,Moseidsletta 122,51 63 90 00,,,,1016,T1,pending,,2026-04-14 15:37:00.460469
40,info@randstad.no,RANDSTAD AS,948762404,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Kristian Augusts gate 15C,40 02 14 00,no-reply@randstadservices.com; camilla.grana@randstad.no; christian.borresen@randstad.no,www.randstad.no,,1005,T1,pending,,2026-04-14 15:37:00.460469
