company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
  ,0@abv.bg,BGR,,www.armeec.bg,.   No 2,132232.62,Obshtina Nesebar,BG,66510000,444609-2020,2020
БКС ЕООД,13karakashev@gmail.com,BGR,гр. Велики Преслав,,ул. ЗЛАТЕН ВЕК №.2,123169.07,ОБЩИНА ВЕЛИКИ ПРЕСЛАВ,BGR,45212360,760338-2025,2025
САВЕКС ЕООД,1992saveks@gmail.com,BGR,гр. Перник,,ул. ЮРИЙ ГАГАРИН бл. 39 вх.Г ап.90,46281006.95,ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ЕАД,BGR,45000000,832483-2025,2025
ДЖЕРМОВ ЕООД,2008_mg@mail.bg,BGR,гр. Средец,,Гочо Кънев №.18,288958.89,ОБЩИНА СРЕДЕЦ,BGR,90620000,627074-2024,2024
2020 зелени идеи ЕООД,2020greenideas@gmail.com,BGR,гр. София,,"ул. ""Георги Софийски №10 ет.2",384777.17,ЮГОЗАПАДНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,BGR,77231000,829890-2025,2025
КОНСОРЦИУМ ЕКО ПЕРНИК ГРУП,2021ecoclean@gmail.com,BGR,"гр. София, п.к. 1000, р-н Оборище, бул. ""Васил Левски"" №109",,,15000000.00,ОБЩИНА ПЕРНИК,BGR,90500000,7067-2025,2025
ОМЕГА ТИМ 23 ООД,23omegateam@gmail.com,BGR,София,,"ул. Христо Белчев № 2, ет.1",102960.00,Изпълнителна агенция “Военни клубове и военно-почивно дело”,BGR,72260000,858883-2025,2025
Алфа Пи Форест ООД,3.1416office@gmail.com,BGR,с. Койчовци,,№.5,551000.00,Електроразпределение Юг ЕАД,BGR,77211500,451833-2025,2025
АЛФА ПИ ПРОДЖЕКТ ООД,3.14office@gmail.com,BGR,гр. София,,Лагера ул.Боговец бл.38 вх.В ап.10,35800.00,БЪЛГАРСКА АКАДЕМИЯ НА НАУКИТЕ,BGR,71500000,526677-2025,2025
ТРИ ДЕ СКАН ИНЖЕНЕРИНГ ООД,3dscan.office@gmail.com,BGR,гр. София,,ГЕО МИЛЕВ ул. ЕДИСОН №.1 вх.Г ет.1 ап.9,58975.00,ОБЩИНА НОВИ ПАЗАР,BGR,34000000,697767-2025,2025
