company,country,county,city,address,postal_code,category,subcategory,type,registration_id,email,email2,email3,phone,phone2,phone3,website,contact_person,contact_dept,contact_title,products,services,activity,employees,revenue,founded,vat_id,cui,status,notes,anofm_email,anofm_phone,anofm_address,web_email,web_phone,web_website,best_email,best_phone,best_address,verified,source_file,source_system,scrape_date,update_date,export_date,priority,score,tags,campaign_id,notes2
SC ELECTROFRIG SRL,RO,Alba,ALBA IULIA,"ALBA IULIA, STR.NICOLAE BALCESCU, NR. 3C",,PLACINTARIE,,,450/17.09.2007,,,,,,,,,,,,,03.inregistrate paine prajituri proaspete patiserie.xls,,,,,,,,,,,,,,,,"ALBA IULIA, STR.NICOLAE BALCESCU, NR. 3C",,03.inregistrate-paine_prajituri_proaspete-patiserie.xls,,,,,,,,,
NELMAR EUROFRUIT SRL,RO,Alba,,"SEBES, LANCRAM, DN1,KM 372+300",,DEPOZIT FRIGORIFIC PROD NONANIMAL,,,869/16.02.2018,,,,,,,,,,,,,31.inregistrate depozite alte produse alimentare,,,,,,,,,,,,,,,,"SEBES, LANCRAM, DN1,KM 372+300",,31.inregistrate-depozite-alte-produse-alimentare_1_2.xls,,,,,,,,,
REGIA NATIONALA A PADURILOR ROMSILVA RA,RO,Alba,,"BISTRA,STR PETRU PAVEL ARON, NR.1",,DEPOZIT FRIGORIFIC PT PROD NONANIMAL,,,892/28.07.2022,,,,,,,,,,,,,31.inregistrate depozite alte produse alimentare,,,,,,,,,,,,,,,,"BISTRA,STR PETRU PAVEL ARON, NR.1",,31.inregistrate-depozite-alte-produse-alimentare_1_2.xls,,,,,,,,,
SC ELECTROFRIG SRL,RO,Alba,ALBA IULIA,"ALBA IULIA, STR.NICOLAE BALCESCU, NR. 3C",,PLACINTARIE,,,450/17.09.2007,,,,,,,,,,,,,03.inregistrate paine prajituri proaspete patiserie,,,,,,,,,,,,,,,,"ALBA IULIA, STR.NICOLAE BALCESCU, NR. 3C",,03.inregistrate-paine_prajituri_proaspete-patiserie_1.xls,,,,,,,,,
NELMAR EUROFRUIT SRL,RO,Alba,,"SEBES, LANCRAM, DN1,KM 372+300",,DEPOZIT FRIGORIFIC PROD NONANIMAL,,,869/16.02.2018,,,,,,,,,,,,,31.inregistrate depozite alte produse alimentare.xls,,,,,,,,,,,,,,,,"SEBES, LANCRAM, DN1,KM 372+300",,31.inregistrate-depozite-alte-produse-alimentare.xls,,,,,,,,,
REGIA NATIONALA A PADURILOR ROMSILVA RA,RO,Alba,,"BISTRA,STR PETRU PAVEL ARON, NR.1",,DEPOZIT FRIGORIFIC PT PROD NONANIMAL,,,892/28.07.2022,,,,,,,,,,,,,31.inregistrate depozite alte produse alimentare.xls,,,,,,,,,,,,,,,,"BISTRA,STR PETRU PAVEL ARON, NR.1",,31.inregistrate-depozite-alte-produse-alimentare.xls,,,,,,,,,
NELMAR EUROFRUIT SRL,RO,Alba,,"SEBES, LANCRAM, DN1,KM 372+300",,DEPOZIT FRIGORIFIC PROD NONANIMAL,,,869/16.02.2018,,,,,,,,,,,,,31.inregistrate depozite alte produse alimentare,,,,,,,,,,,,,,,,"SEBES, LANCRAM, DN1,KM 372+300",,31.inregistrate-depozite-alte-produse-alimentare_1.xls,,,,,,,,,
REGIA NATIONALA A PADURILOR ROMSILVA RA,RO,Alba,,"BISTRA,STR PETRU PAVEL ARON, NR.1",,DEPOZIT FRIGORIFIC PT PROD NONANIMAL,,,892/28.07.2022,,,,,,,,,,,,,31.inregistrate depozite alte produse alimentare,,,,,,,,,,,,,,,,"BISTRA,STR PETRU PAVEL ARON, NR.1",,31.inregistrate-depozite-alte-produse-alimentare_1.xls,,,,,,,,,
SC ELECTROFRIG SRL,RO,Alba,ALBA IULIA,"ALBA IULIA, STR.NICOLAE BALCESCU, NR. 3C",,PLACINTARIE,,,450/17.09.2007,,,,,,,,,,,,,03.inregistrate paine prajituri proaspete patiserie,,,,,,,,,,,,,,,,"ALBA IULIA, STR.NICOLAE BALCESCU, NR. 3C",,03.inregistrate-paine_prajituri_proaspete-patiserie_1_2.xls,,,,,,,,,
RED HAPPY FRUIT COOPERATIVA AGRICOLA,RO,Arad,,10312/09.08.2023,,fabricare sucuri din fructe si legume/depozitare fructe regim frig,,,10312/09.08.2023,,,,,,,,,,,,,08.inregistrate sucuri de fructe legume,,,,,,,,,,,,,,,,"Lipova, nr. FN, DJ 572, incinta Ferma Pomicola Happy Goodfruit",,08.inregistrate-sucuri-de-fructe_legume_1.xls,,,,,,,,,
RED HAPPY FRUIT COOPERATIVA AGRICOLA,RO,Arad,,10312/09.08.2023,,fabricare sucuri din fructe si legume/depozitare fructe regim frig,,,10312/09.08.2023,,,,,,,,,,,,,08.inregistrate sucuri de fructe legume,,,,,,,,,,,,,,,,"Lipova, nr. FN, DJ 572, incinta Ferma Pomicola Happy Goodfruit",,08.inregistrate-sucuri-de-fructe_legume_1_2.xls,,,,,,,,,
RED HAPPY FRUIT COOPERATIVA AGRICOLA,RO,Arad,,10312/09.08.2023,,fabricare sucuri din fructe si legume/depozitare fructe regim frig,,,10312/09.08.2023,,,,,,,,,,,,,08.inregistrate sucuri de fructe legume.xls,,,,,,,,,,,,,,,,"Lipova, nr. FN, DJ 572, incinta Ferma Pomicola Happy Goodfruit",,08.inregistrate-sucuri-de-fructe_legume.xls,,,,,,,,,
II Frigura Beatrice Nicoleta,RO,Arges,,VA10955/24.10.2023,,unitati de vanzare cu amanuntul de produse de origine animala inregistrate sanitar veterinar -stupina,,,VA10955/24.10.2023,,,,,,,,,,,,,14.inregistrate stupina,,,,,,,,,,,,,,,,"sat Laicai, comuna Cetateni,",,14.inregistrate-stupina_1.xls,,,,,,,,,
II Frigura Beatrice Nicoleta,RO,Arges,,VA10955/24.10.2023,,unitati de vanzare cu amanuntul de produse de origine animala inregistrate sanitar veterinar -stupina,,,VA10955/24.10.2023,,,,,,,,,,,,,14.inregistrate stupina.xls,,,,,,,,,,,,,,,,"sat Laicai, comuna Cetateni,",,14.inregistrate-stupina.xls,,,,,,,,,
II COLDEA V. VICTORIA,RO,Bihor,,VA 5670 DIN 21.06.2012,,MAGAZIN ALIMENTAR,,,VA 5670 DIN 21.06.2012,,,,,,,,,,,,,24.inregistrate magazin alimentar,,,,,,,,,,,,,,,,VA 5670 DIN 21.06.2012,,24.inregistrate-magazin-alimentar_2025_1.xls,,,,,,,,,
SC FRIGOEXPRES SA,RO,Bihor,,VA5473/13.03.2012,,STATIE SPALARE DEZINFECTIE,,,VA5473/13.03.2012,,,,,,,,,,,,,33.inregistrate statie spalare dezinfectie transp,,,,,,,,,,,,,,,,"ORADEA, SOS BORSULUI NR 53",,33.inregistrate-statie-spalare_dezinfectie-transp-2025.xls,,,,,,,,,
SC FRIGOSPED SRL,RO,Bihor,,VA11054/09.04.2021,,STATIE SPALARE DEZINFECTIE,,,VA11054/09.04.2021,,,,,,,,,,,,,33.inregistrate statie spalare dezinfectie transp,,,,,,,,,,,,,,,,"ORADEA, SOS BORSULUI NR 53/A",,33.inregistrate-statie-spalare_dezinfectie-transp-2025.xls,,,,,,,,,
