email,company,country,city,website,contract_value_eur,commodity,commodity_short,trade_agreement,tariff_benefit,supplier_count,supplier_provinces,top_suppliers
036-controller@iao.fraunhofer.de,Fraunhofer-Institut für Arbeitswirtschaft und Organisation IAO,DEU,Stuttgart,,0,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
12-20003@assmanngruppe.com,Hans Thormählen,DEU,Osnabrück,,0,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
13448cristobal@gmail.com,JOSE MARIA CRISTOBAL GONZALEZ,ESP,Toledo,,137000,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
13.j.company@gmail.com,J.Company s.r.o.,SVK,Nitra,,0,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
1992saveks@gmail.com,САВЕКС ЕООД,BGR,гр. Перник,,16487,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
1.projekcnicz@seznam.cz,1. projekční CZ s.r.o.,CZE,Praha - Staré Město,,18664903,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
2023greenvision@gmail.com,GREEN VISION Sp. z o.o.,POL,Człuchów,,652340,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
2024utemapa@gmail.com,2024 MAPA BERITEC PROSECAR,ESP,CABANILLAS DEL CAMPO,,380127,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
2025utemtn25@gmail.com, UTE BERITEC PROSECAR,ESP,Azuqueca de henares,,374569,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
2aroutes@corsovia.fr,CORSOVIA,FRA,Ajaccio,,0,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
2fwater@legalmail.it,ALMAVIVA BLUEBIT (GIA' 2F WATER VENTURE SRL),ITA,ALBIGNASEGO (PD),www.2fwaterventure.it,4229081,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
2.i.project.srl@pec.it,RTC 2 I PROJECT S.R.L./PROGEDI SRL /STUDIO TECNICO DI TUORO VINCENZO,ITA,ercolano,,0,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
2masteam@pec.it,Studio tecnico di ingegneria 2masteam,IT,Lodi,,120143,Clean Technology & Renewables,cleantech,CETA,Duty-free,4,"BC, ON","Ballard Power Systems, Canadian Solar, Loop Energy"
