email,company,country,city,website,contract_value_eur,commodity,commodity_short,trade_agreement,tariff_benefit,supplier_count,supplier_provinces,top_suppliers
00470780107.genova@pec.ance.it,RTI ILSET SRL / ESO STRADE SRL,ITA,Genova,,16500000,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
00809020159.genova@pec.ance.it,SIRCE S.P.A.,ITA,Genova,,8353012,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
02035550280.padova@pec.ance.it,Mengato s.n.c. di Mengato Enzo & C.,ITA,Camposampiero,,6866701,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
021_ekr@strabag.com,STRABAG Epitoipari Zartkoruen Mukodo Reszvenytarsasag,HU,Budapest,http://www.strabag.hu,14322392216,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
025_ekr@strabag.com,STRABAG Rail Korlatolt Felelossegu Tarsasag,HU,Budapest,http://www.strabag.hu,126792232044,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
042_ekr@strabag.com,STRABAG Epito Korlatolt Felelossegu Tarsasag,HU,Budapest,,90456480133,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
04stic@groupe-mels.com,STIC,FR,Ittenheim,https://www.societe.com/societe/stic-494067200.html,0,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
06122.lars@gmx.de,ZeKo Bau GmbH,DEU,Halle Salle,,62093,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
107_EKR@strabag.com,STRABAG-MML Magas- és Mérnöki Létesítmény Építő Korlátolt Felelősségű Társaság,HUN,Budapest,https://www.strabag.hu,0,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
109_ekr@strabag.com,STRABAG Altalanos Epito Korlatolt Felelossegu Tarsasag,HU,Budapest,,47513549782,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
11535.tersystemsrl.TN00@infopec.cassaedile.it,TER SYSTEM SRL,ITA,CAVEDAGO (TN),,9200140,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
1163.zonaeste@acciona.com,"ACCIONA CONSTRUCCION, S.A.",ESP,València,,0,Aluminum & Non-Ferrous Metals,aluminum,CETA,+378%,4,"QC, ON","Rio Tinto Alcan, Alcoa Canada, Novelis"
