company,country,county,city,address,postal_code,category,subcategory,type,registration_id,email,email2,email3,phone,phone2,phone3,website,contact_person,contact_dept,contact_title,products,services,activity,employees,revenue,founded,vat_id,cui,status,notes,anofm_email,anofm_phone,anofm_address,web_email,web_phone,web_website,best_email,best_phone,best_address,verified,source_file,source_system,scrape_date,update_date,export_date,priority,score,tags,campaign_id,notes2
Metropol Famoisa SRL,Alba,,,,,Supermarket,,,,enescuionela60@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
S.C.Metropol S.R.L.,Arges,,,,,Supermarket,,,,mariustololoi@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
SPARKS & BUZZ,Arges,,,,,Supermarket,,,,buzz.restaurante@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Bingo,BA,,,,,Supermarket,,Local Leader,,nabavka@bfrm.ba,,,,,,bfrm.ba,,Nabavka,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Greenyard,BE/EU,,,,,Distributor,,Fresh/Frozen,,info@greenyard.group,,,,,,greenyard.group,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Bella Bulgaria,BG,,,,,Meat,,Processor,,procurement@bellabulgaria.bg,,,,,,bellabulgaria.bg,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Billa Bulgaria,BG,,,,,Supermarket,,REWE Chain,,dostavchici@billa.bg,,,,,,billa.bg/dostavchici,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
CBA Bulgaria,BG,,,,,Supermarket,,Franchise,,info@cba.bg,,,,,,cba.bg,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Fantastico,BG,,,,,Supermarket,,Local Chain,,dostavchici@fantastico.bg,,,,,,fantastico.bg,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Kaufland Bulgaria,BG,,,,,Supermarket,,Hypermarket,,dostavchici@kaufland.bg,,,,,,kaufland.bg/dostavchici,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
LB Bulgaricum,BG,,,,,Dairy,,Processor,,procurement@lbbg.com,,,,,,lbbg.com,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Lidl Bulgaria,BG,,,,,Supermarket,,Discount,,dostavchici@lidl.bg,,,,,,lidl.bg/dostavchici,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
T-Market,BG,,,,,Supermarket,,Local Chain,,dostavchici@t-market.bg,,,,,,t-market.bg,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
SC SELGROS CASH & CARRY SRL,Bistrita Nasaud,,,,,Supermarket,,,,monica.balas@selgros.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
S.C. PROFI ROM FOOD S.R.L.,Botosani,,,,,Supermarket,,,,ana.barbu@profi.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
S.C. Carrefour Romania S.A.,Braila,,,,,Supermarket,,,,iuliana_ferugean@carrefour.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
SC KAUFLAND ROMANIA SOCIETATE IN COMANDITA,Brasov,,,,,Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
SC Kaufland Romania SCS SRL,Brasov,,,,,Supermarket,,,,iuliana-andra.badiu@kaufland.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
SC STARPENNY SRL,Brasov,,,,,Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
SC URSUS BREWERIES S.A,Brasov,,,,,Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
S.C. Mega Image Srl.,Bucuresti,,,,,Supermarket,,,,mnica@mega-image.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Nutrien Europe,CA/EU,,,,,Fertilizer,,Full Range,,europe@nutrien.com,,,,,,nutrien.com,,Sales,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
EuroChem Group,CH/EU,,,,,Fertilizer,,NPK,,sales@eurochemgroup.com,,,,,,eurochemgroup.com,,Sales,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Syngenta,CH/EU,,,,,Fertilizer,,Seeds/Crop,,info@syngenta.com,,,,,,syngenta.com,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Tesco Central Europe,CZ/HU/SK,,,,,Supermarket,,Hypermarket,,dodavatele@tesco-europe.com,,,,,,itesco.cz/dodavatele,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Edeka,DE,,,,,Supermarket,,Cooperative,,lieferanten@edeka.de,,,,,,edeka.de/lieferanten,,Einkauf,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Aldi Nord,DE/EU,,,,,Supermarket,,Discount,,lieferanten@aldi-nord.de,,,,,,aldi-nord.de/lieferanten,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Aldi Sud,DE/EU,,,,,Supermarket,,Discount,,lieferanten@aldi-sued.de,,,,,,aldi-sued.de/lieferanten,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
BASF Agricultural,DE/EU,,,,,Fertilizer,,Agrochemicals,,agricultural@basf.com,,,,,,basf.com/agricultural,,Sales,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Bayer CropScience,DE/EU,,,,,Fertilizer,,Agrochemicals,,cropscience@bayer.com,,,,,,cropscience.bayer.com,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
K+S AG,DE/EU,,,,,Fertilizer,,Potash,,info@k-plus-s.com,,,,,,kpluss.com,,Sales,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Lidl International,DE/EU,,,,,Supermarket,,Discount,,internationalsuppliers@lidl.com,,,,,,lidl.com/suppliers,,International Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Metro AG,DE/EU,,,,,Wholesale,,Cash & Carry,,lieferanten@metro.de,,,,,,metroag.de/lieferanten,,Purchasing,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
REWE Group,DE/EU,,,,,Supermarket,,Full Range,,einkauf@rewe-group.com,,,,,,rewe-group.com/lieferanten,,Einkauf,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Schwarz Group (Lidl/Kaufland),DE/EU,,,,,Supermarket,,Multi-format,,beschaffung@schwarz-gruppe.net,,,,,,schwarz-gruppe.net,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
EY Godkendt Revisionspartnerselskab,Denmark,,,,,Supermarket,,,,hjoerdis.k.hansen@dk.ey.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Makro (Metro),EU,,,,,Wholesale,,Cash & Carry,,leveranciers@makro.nl,,,,,,makro.nl/leveranciers,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Sysco Europe,EU,,,,,Distributor,,Foodservice,,europe.sourcing@sysco.com,,,,,,sysco.com,,Sourcing,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Transgourmet,EU,,,,,Distributor,,Foodservice,,purchasing@transgourmet.com,,,,,,transgourmet.com,,Purchasing,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Auchan Group,FR/EU,,,,,Supermarket,,Hypermarket,,fournisseurs@auchan.com,,,,,,auchan-retail.com/fournisseurs,,Purchasing,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Carrefour Group,FR/EU,,,,,Supermarket,,Hypermarket,,suppliers@carrefour.com,,,,,,carrefour.com/suppliers,,Purchasing,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Pomona Group,FR/EU,,,,,Distributor,,Fresh Produce,,sourcing@pomona.fr,,,,,,pomona.fr,,Sourcing,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Atlantic Grupa,HR,,,,,FMCG,,Producer,,procurement@atlanticgrupa.com,,,,,,atlanticgrupa.com,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Dukat (Lactalis),HR,,,,,Dairy,,Processor,,otkup.mlijeka@dukat.hr,,,,,,dukat.hr,,Milk Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Fortenova Group,HR,,,,,Conglomerate,,Food/Retail,,procurement@fortenova.hr,,,,,,fortenova-group.eu,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Kaufland Croatia,HR,,,,,Supermarket,,Hypermarket,,dobavljaci@kaufland.hr,,,,,,kaufland.hr/dobavljaci,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Konzum (Fortenova),HR,,,,,Supermarket,,Major Chain,,nabava@konzum.hr,,,,,,konzum.hr/dobavljaci,,Nabava,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Lidl Croatia,HR,,,,,Supermarket,,Discount,,dobavljaci@lidl.hr,,,,,,lidl.hr/dobavljaci,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
PIK Vrbovec,HR,,,,,Meat,,Processor,,otkup@pik-vrbovec.hr,,,,,,pik-vrbovec.hr,,Livestock,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Plodine,HR,,,,,Supermarket,,Local Chain,,nabava@plodine.hr,,,,,,plodine.hr,,Nabava,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Podravka,HR,,,,,Food Producer,,Processed Food,,nabava@podravka.hr,,,,,,podravka.com,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Spar Croatia,HR,,,,,Supermarket,,Full Range,,nabava@spar.hr,,,,,,spar.hr/dobavljaci,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Studenac,HR,,,,,Supermarket,,Proximity,,nabava@studenac.hr,,,,,,studenac.hr,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Vindija,HR,,,,,Dairy/Poultry,,Processor,,nabava@vindija.hr,,,,,,vindija.hr,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Total Produce (Dole),IE/EU,,,,,Distributor,,Fresh Produce,,info@totalproduce.com,,,,,,totalproduce.com,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
ICL Group,IL/EU,,,,,Fertilizer,,Specialty,,info@icl-group.com,,,,,,icl-group.com,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
OCP Group,MA/EU,,,,,Fertilizer,,Phosphates,,contact@ocpgroup.ma,,,,,,ocpgroup.ma,,Sales,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Agroteh,MD,,,,,Fertilizer,,Distributor,,commercial@agroteh.md,,,,,,agroteh.md,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Bucuria,MD,,,,,Confectionery,,Producer,,commercial@bucuria.md,,,,,,bucuria.md,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Efes Vitanta,MD,,,,,Beverages,,Producer,,procurement@efesvitanta.md,,,,,,efesvitanta.md,,Procurement,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Fidesco,MD,,,,,Supermarket,,Local Chain,,achizitii@fidesco.md,,,,,,fidesco.md,,Achizitii,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Fourchette,MD,,,,,Supermarket,,Local Chain,,achizitii@fourchette.md,,,,,,fourchette.md,,Achizitii,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Franzeluta,MD,,,,,Bakery,,Producer,,commercial@franzeluta.md,,,,,,franzeluta.md,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Green Hills Market,MD,,,,,Supermarket,,Premium,,achizitii@greenhillsmarket.md,,,,,,greenhillsmarket.md,,Achizitii,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
JLC,MD,,,,,Distributor,,FMCG,,commercial@jlc.md,,,,,,jlc.md,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Kaufland Moldova,MD,,,,,Supermarket,,Hypermarket,,achizitii@kaufland.md,,,,,,kaufland.md,,Achizitii,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Lactis,MD,,,,,Dairy,,Processor,,achizitii@lactis.md,,,,,,lactis.md,,Achizitii,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Linella,MD,,,,,Supermarket,,Major Chain,,achizitii@linella.md,,,,,,linella.md,,Achizitii,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Metro Moldova,MD,,,,,Wholesale,,Cash & Carry,,furnizori@metro.md,,,,,,metro.md/furnizori,,Furnizori,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Natur Bravo,MD,,,,,Beverages,,Producer,,commercial@naturbravo.md,,,,,,naturbravo.md,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Nr.1,MD,,,,,Supermarket,,Local Chain,,achizitii@nr1.md,,,,,,nr1.md,,Achizitii,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Supraten,MD,,,,,Distributor,,Food,,office@supraten.md,,,,,,supraten.md,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Kam Market,MK,,,,,Supermarket,,Local Chain,,nabavka@kam.mk,,,,,,kam.mk,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Vero,MK,,,,,Supermarket,,Local Chain,,nabavka@vero.com.mk,,,,,,vero.com.mk,,Buying,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Coop Euro,Multiple,,,,,Supermarket,,Cooperative,,Various,,,,,,coop.eu,,Various,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Ahold Delhaize,NL/EU,,,,,Supermarket,,Multi-format,,suppliers@aholddelhaize.com,,,,,,aholddelhaize.com/suppliers,,Sourcing,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Spar International,NL/EU,,,,,Supermarket,,Franchise,,info@spar-international.com,,,,,,spar-international.com,,Commercial,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Yara International,NO/EU,,,,,Fertilizer,,Manufacturer,,info@yara.com,,,,,,yara.com,,Sales,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
Auchan Polska sp. z o.o.,Poland,,,,,Supermarket,,,,b.semeniuk@auchan.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL_SUPERMARKET_CHAINS.csv,,,,,,,,,
